Array Size (#), Non SIMD Mult (MegaMults/sec), SIMD Mult (MegaMults/sec), Speedup, Non SIMD Mult Sum (MegaMultSums/sec), SIMD Mult Sum (MegaMultSums/sec), Speedup
        1000,     364.17,    1726.27,   4.74,     362.44,    1795.55,   4.95
       10000,     360.03,    1929.46,   5.36,     365.13,    1759.37,   4.82
       50000,     356.99,    1821.69,   5.10,     365.53,    1944.27,   5.32
      100000,     357.55,    1772.17,   4.96,     365.34,    2005.53,   5.49
      500000,     353.50,    1719.02,   4.86,     362.96,    1792.14,   4.94
     1000000,     350.29,    1620.62,   4.63,     361.96,    1807.53,   4.99
     2000000,     345.03,    1174.88,   3.41,     361.83,    1495.29,   4.13
     4000000,     336.61,     948.47,   2.82,     356.67,    1200.94,   3.37
     6000000,     341.95,     896.83,   2.62,     359.27,    1134.04,   3.16
     8000000,     339.61,     861.19,   2.54,     359.18,    1089.79,   3.03
